"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Jayden Daniels","QB","WAS","100%","100%","0%","0%","100%","100%","","","","","","","","","","","","","263","100%"
"Jaxon Smith-Njigba","WR","SEA","77%","65%","49%","80%","90%","82%","","","","","","","","","","","","","263","74%"
"Ashton Jeanty","RB","LV","86%","56%","61%","85%","54%","79%","","","","","","","","","","","","","262","69%"
"Troy Franklin","WR","DEN","59%","83%","79%","58%","59%","58%","","","","","","","","","","","","","260","65%"
"Chig Okonkwo","TE","TEN","88%","76%","66%","70%","63%","57%","","","","","","","","","","","","","258","70%"
"Travis Hunter","WR","JAC","64%","59%","53%","56%","67%","78%","","","","","","","","","","","","","257","63%"
"Bijan Robinson","RB","ATL","83%","65%","80%","69%","bye","74%","","","","","","","","","","","","","256","75%"
"Dallas Goedert","TE","PHI","83%","0%","91%","75%","79%","89%","","","","","","","","","","","","","255","84%"
"Marquise Brown","WR","KC","93%","75%","68%","52%","52%","52%","","","","","","","","","","","","","255","65%"
"Keenan Allen","WR","LAC","62%","55%","65%","78%","58%","56%","","","","","","","","","","","","","252","63%"
"Nico Collins","WR","HOU","84%","90%","86%","86%","57%","bye","","","","","","","","","","","","","252","80%"
"Omarion Hampton","RB","LAC","80%","62%","79%","89%","58%","0%","","","","","","","","","","","","","251","74%"
"Tommy Tremble","TE","CAR","45%","41%","57%","75%","76%","73%","","","","","","","","","","","","","251","61%"
"Kendrick Bourne","WR","SF","0%","49%","72%","67%","81%","80%","","","","","","","","","","","","","251","70%"
"Calvin Ridley","WR","TEN","95%","86%","87%","54%","66%","10%","","","","","","","","","","","","","249","67%"
"DK Metcalf","WR","PIT","95%","90%","89%","79%","bye","83%","","","","","","","","","","","","","248","87%"
"Travis Etienne Jr.","RB","JAC","61%","66%","54%","60%","59%","62%","","","","","","","","","","","","","247","60%"
"Khalil Shakir","WR","BUF","71%","49%","70%","53%","63%","60%","","","","","","","","","","","","","247","61%"
"Brenton Strange","TE","JAC","79%","90%","83%","74%","38%","0%","","","","","","","","","","","","","246","74%"
"Mark Andrews","TE","BAL","75%","80%","81%","56%","58%","78%","","","","","","","","","","","","","246","72%"
"T.J. Hockenson","TE","MIN","80%","72%","68%","93%","85%","bye","","","","","","","","","","","","","246","81%"
"James Cook III","RB","BUF","56%","47%","67%","73%","72%","53%","","","","","","","","","","","","","245","61%"
"Zach Ertz","TE","WAS","64%","90%","52%","61%","53%","60%","","","","","","","","","","","","","242","64%"
"Isaiah Bond","WR","CLE","28%","38%","65%","55%","57%","87%","","","","","","","","","","","","","240","55%"
"Josh Jacobs","RB","GB","88%","78%","66%","65%","bye","79%","","","","","","","","","","","","","240","74%"
"Noah Gray","TE","KC","41%","65%","68%","56%","56%","75%","","","","","","","","","","","","","238","60%"
"Breece Hall","RB","NYJ","58%","64%","55%","63%","62%","74%","","","","","","","","","","","","","238","62%"
"Cam Skattebo","RB","NYG","12%","52%","59%","75%","68%","71%","","","","","","","","","","","","","238","57%"
"Jordan Whittington","WR","LAR","50%","64%","50%","80%","40%","92%","","","","","","","","","","","","","238","62%"
"Sterling Shepard","WR","TB","64%","75%","61%","62%","41%","49%","","","","","","","","","","","","","237","60%"
"Jalen Nailor","WR","MIN","88%","100%","83%","63%","65%","bye","","","","","","","","","","","","","236","78%"
"Jahmyr Gibbs","RB","DET","66%","56%","69%","62%","52%","69%","","","","","","","","","","","","","230","62%"
"Dawson Knox","TE","BUF","56%","55%","53%","41%","56%","81%","","","","","","","","","","","","","229","57%"
"Rashod Bateman","WR","BAL","73%","59%","60%","82%","81%","56%","","","","","","","","","","","","","228","67%"
"Ricky Pearsall","WR","SF","84%","89%","97%","56%","0%","0%","","","","","","","","","","","","","227","82%"
"Isiah Pacheco","RB","KC","51%","58%","56%","37%","62%","77%","","","","","","","","","","","","","222","56%"
"Chase Brown","RB","CIN","75%","71%","55%","73%","53%","54%","","","","","","","","","","","","","222","63%"
"Xavier Legette","WR","CAR","78%","80%","0%","0%","79%","73%","","","","","","","","","","","","","222","78%"
"Jahan Dotson","WR","PHI","46%","37%","78%","54%","72%","75%","","","","","","","","","","","","","221","61%"
"Jaxson Dart","QB","NYG","0%","4%","5%","97%","100%","97%","","","","","","","","","","","","","220","63%"
"Rhamondre Stevenson","RB","NE","65%","65%","36%","57%","52%","72%","","","","","","","","","","","","","217","57%"
"Mack Hollins","WR","NE","54%","65%","62%","49%","58%","55%","","","","","","","","","","","","","217","57%"
"Malik Nabers","WR","NYG","94%","99%","92%","33%","0%","0%","","","","","","","","","","","","","216","78%"
"Tyquan Thornton","WR","KC","72%","75%","76%","34%","45%","27%","","","","","","","","","","","","","215","55%"
"Austin Hooper","TE","NE","32%","62%","65%","65%","57%","64%","","","","","","","","","","","","","215","57%"
"Josh Reynolds","WR","NYJ","97%","0%","0%","67%","74%","88%","","","","","","","","","","","","","215","81%"
"Dyami Brown","WR","JAC","71%","80%","33%","0%","66%","64%","","","","","","","","","","","","","214","63%"
"Dalton Schultz","TE","HOU","54%","59%","79%","85%","59%","bye","","","","","","","","","","","","","214","68%"
"Jauan Jennings","WR","SF","66%","87%","0%","73%","0%","77%","","","","","","","","","","","","","213","76%"
"Luke Farrell","TE","SF","58%","58%","46%","48%","44%","39%","","","","","","","","","","","","","212","49%"
"Jake Browning","QB","CIN","0%","70%","95%","100%","100%","0%","","","","","","","","","","","","","211","90%"
"Hunter Renfrow","WR","CAR","66%","81%","29%","49%","43%","27%","","","","","","","","","","","","","210","51%"
"D'Andre Swift","RB","CHI","81%","57%","61%","66%","bye","56%","","","","","","","","","","","","","210","64%"
"Stefon Diggs","WR","NE","56%","52%","53%","63%","50%","59%","","","","","","","","","","","","","209","55%"
"Josh Downs","WR","IND","49%","58%","51%","62%","50%","51%","","","","","","","","","","","","","207","53%"
"J.K. Dobbins","RB","DEN","53%","45%","67%","44%","53%","50%","","","","","","","","","","","","","206","51%"
"Xavier Hutchinson","WR","HOU","68%","57%","62%","68%","67%","bye","","","","","","","","","","","","","205","65%"
"Rico Dowdle","RB","CAR","34%","29%","40%","39%","67%","88%","","","","","","","","","","","","","203","49%"
"Alec Pierce","WR","IND","79%","90%","54%","0%","0%","81%","","","","","","","","","","","","","201","77%"
"Cedric Tillman","WR","CLE","88%","95%","74%","22%","0%","0%","","","","","","","","","","","","","200","71%"
"Matthew Golden","WR","GB","48%","59%","71%","59%","bye","69%","","","","","","","","","","","","","200","62%"
"Dont'e Thornton Jr.","WR","LV","60%","81%","59%","60%","47%","3%","","","","","","","","","","","","","199","52%"
"Russell Wilson","QB","NYG","100%","96%","95%","3%","0%","3%","","","","","","","","","","","","","199","58%"
"Lamar Jackson","QB","BAL","100%","95%","100%","69%","0%","0%","","","","","","","","","","","","","199","91%"
"Julian Hill","TE","MIA","58%","51%","56%","69%","53%","64%","","","","","","","","","","","","","198","59%"
"Bucky Irving","RB","TB","76%","71%","74%","61%","0%","0%","","","","","","","","","","","","","198","70%"
"Adam Trautman","TE","DEN","58%","62%","37%","52%","42%","38%","","","","","","","","","","","","","195","49%"
"Tyler Higbee","TE","LAR","58%","75%","55%","55%","0%","66%","","","","","","","","","","","","","193","61%"
"Charlie Woerner","TE","ATL","42%","85%","21%","68%","bye","67%","","","","","","","","","","","","","193","56%"
"Brock Wright","TE","DET","36%","53%","56%","40%","73%","57%","","","","","","","","","","","","","193","52%"
"Arian Smith","WR","NYJ","9%","47%","78%","46%","56%","60%","","","","","","","","","","","","","191","50%"
"Olamide Zaccheaus","WR","CHI","45%","44%","58%","60%","bye","84%","","","","","","","","","","","","","189","58%"
"Dontayvion Wicks","WR","GB","46%","54%","68%","77%","bye","34%","","","","","","","","","","","","","188","58%"
"Carson Wentz","QB","MIN","0%","0%","80%","100%","98%","bye","","","","","","","","","","","","","188","94%"
"Zay Jones","WR","ARI","47%","51%","50%","0%","50%","79%","","","","","","","","","","","","","184","56%"
"Jordan Mason","RB","MIN","54%","60%","60%","62%","66%","bye","","","","","","","","","","","","","184","61%"
"Malik Washington","WR","MIA","58%","61%","54%","48%","58%","44%","","","","","","","","","","","","","182","54%"
"Parker Washington","WR","JAC","26%","24%","71%","85%","26%","33%","","","","","","","","","","","","","182","44%"
"Brock Bowers","TE","LV","51%","77%","83%","77%","0%","0%","","","","","","","","","","","","","181","72%"
"Rachaad White","RB","TB","24%","31%","28%","42%","80%","77%","","","","","","","","","","","","","179","45%"
"Derrick Henry","RB","BAL","57%","61%","49%","40%","65%","49%","","","","","","","","","","","","","179","53%"
"Mo Alie-Cox","TE","IND","45%","35%","49%","31%","53%","63%","","","","","","","","","","","","","177","46%"
"Jerome Ford","RB","CLE","54%","48%","36%","27%","37%","40%","","","","","","","","","","","","","177","41%"
"Chuba Hubbard","RB","CAR","67%","74%","62%","51%","0%","0%","","","","","","","","","","","","","177","64%"
"Tyler Lockett","WR","TEN","58%","48%","54%","72%","25%","33%","","","","","","","","","","","","","176","47%"
"Drew Sample","TE","CIN","69%","41%","68%","46%","44%","34%","","","","","","","","","","","","","173","49%"
"Joshua Palmer","WR","BUF","62%","51%","43%","25%","51%","11%","","","","","","","","","","","","","173","43%"
"Jonnu Smith","TE","PIT","66%","56%","83%","25%","bye","69%","","","","","","","","","","","","","171","60%"
"Chris Moore","WR","WAS","27%","0%","57%","70%","59%","68%","","","","","","","","","","","","","171","55%"
"Dalton Kincaid","TE","BUF","51%","48%","55%","37%","54%","0%","","","","","","","","","","","","","171","49%"
"Calvin Austin III","WR","PIT","80%","92%","72%","51%","bye","0%","","","","","","","","","","","","","168","75%"
"Quinshon Judkins","RB","CLE","0%","27%","55%","58%","56%","40%","","","","","","","","","","","","","167","47%"
"Zach Charbonnet","RB","SEA","58%","55%","0%","47%","57%","60%","","","","","","","","","","","","","165","55%"
"Gunnar Helm","TE","TEN","40%","33%","39%","40%","66%","48%","","","","","","","","","","","","","165","44%"
"Marvin Mims Jr.","WR","DEN","53%","36%","44%","40%","36%","35%","","","","","","","","","","","","","164","41%"
"Darnell Washington","TE","PIT","46%","37%","37%","91%","bye","80%","","","","","","","","","","","","","164","58%"
"Mike Evans","WR","TB","83%","79%","72%","0%","0%","0%","","","","","","","","","","","","","163","78%"
"Casey Washington","WR","ATL","95%","0%","0%","52%","bye","80%","","","","","","","","","","","","","162","77%"
"Dillon Gabriel","QB","CLE","0%","10%","0%","4%","100%","100%","","","","","","","","","","","","","162","56%"
"Tory Horton","WR","SEA","54%","40%","49%","36%","49%","45%","","","","","","","","","","","","","161","45%"
"Jackson Hawes","TE","BUF","19%","47%","43%","53%","29%","54%","","","","","","","","","","","","","159","39%"
"Elijah Arroyo","TE","SEA","31%","40%","49%","55%","43%","45%","","","","","","","","","","","","","157","44%"
"Davis Allen","TE","LAR","37%","41%","38%","29%","60%","40%","","","","","","","","","","","","","156","41%"
"Nick Westbrook-Ikhine","WR","MIA","44%","28%","25%","47%","71%","63%","","","","","","","","","","","","","155","46%"
"Tyreek Hill","WR","MIA","62%","84%","87%","41%","0%","0%","","","","","","","","","","","","","155","69%"
"Charlie Kolar","TE","BAL","61%","59%","51%","25%","47%","36%","","","","","","","","","","","","","155","46%"
"Chimere Dike","WR","TEN","18%","42%","41%","40%","49%","56%","","","","","","","","","","","","","154","42%"
"Justice Hill","RB","BAL","45%","39%","51%","58%","30%","45%","","","","","","","","","","","","","154","45%"
"Terry McLaurin","WR","WAS","79%","91%","60%","0%","0%","0%","","","","","","","","","","","","","153","78%"
"Kenneth Walker III","RB","SEA","40%","35%","53%","50%","44%","35%","","","","","","","","","","","","","153","43%"
"Kyle Juszczyk","RB","SF","49%","14%","34%","35%","42%","36%","","","","","","","","","","","","","153","35%"
"Jacory Croskey-Merritt","RB","WAS","33%","22%","40%","35%","47%","66%","","","","","","","","","","","","","152","40%"
"Kareem Hunt","RB","KC","38%","40%","44%","44%","33%","30%","","","","","","","","","","","","","151","38%"
